,FIPS,County_Name,Combined_Key,Confirmed,Date,Deaths,State,Month_Case_Progression,2016_E_Party,Governer_Party,Lat,Lng
0,45001.0,Abbeville,"Abbeville, South Carolina, US",100,2020-06-26,0,South Carolina,"[nan  2.  2.  0.  3.  2.  2.  0.  0.  1.  0.  4.  7.  2.  0.  3. -1.  1.
  4.  3.  3.  0.  0.  0. 13.  2. -1. -1.  5.  8.  1.]",,,34.22333378,-82.46170658
1,22001.0,Acadia,"Acadia, Louisiana, US",783,2020-06-26,36,Louisiana,"[nan  4.  0. 11.  6.  4.  6. 18. 16.  5. 33.  2. 11.  4.  3.  9.  6. 42.
  6. 14.  7. 21.  0. 14.  7.  8. 15. 36. 21. 19. 38.]",,,30.295064899999996,-92.41419698
2,51001.0,Accomack,"Accomack, Virginia, US",1037,2020-06-26,14,Virginia,"[nan 27. 20. 36. 46.  8. 22. 14. 13.  3.  1. 13.  0.  0.  1.  0.  3.  2.
  4.  3. 11. 11.  0.  4.  2.  7.  1.  1.  1.  3.  0.]",,,37.76707161,-75.63234615
3,16001.0,Ada,"Ada, Idaho, US",1585,2020-06-26,23,Idaho,"[ nan   5.   0.   2.   7.   0.   6.   0.   5.  10.   5.   0.   6.   4.
   6.   0.  23.   0.  15.   0.  23.  71.  57.  57.  66.   0. 141.   0.
  76. 202.   0.]",,,43.4526575,-116.24155159999998
4,19001.0,Adair,"Adair, Iowa, US",14,2020-06-26,0,Iowa,"[nan  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  1.  0.
  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  2.  0.]",,,41.33075609,-94.47105874
5,21001.0,Adair,"Adair, Kentucky, US",111,2020-06-26,19,Kentucky,"[nan  0.  1.  0.  0.  0.  0.  0.  0.  1.  1.  0. -1.  2.  1.  0.  0.  0.
  0.  0.  0.  1.  1.  1.  1.  0.  0.  3.  0.  2.  1.]",,,37.10459774,-85.28129668
6,29001.0,Adair,"Adair, Missouri, US",88,2020-06-26,0,Missouri,"[nan  3.  1.  1.  4.  5.  0.  0.  2.  5.  1.  4.  0.  2.  0.  0.  1.  5.
  0.  3.  1.  1.  0.  0. -1.  1.  1.  0.  1.  1.  0.]",,,40.19058551,-92.60078167
7,40001.0,Adair,"Adair, Oklahoma, US",111,2020-06-26,4,Oklahoma,"[nan  2.  1.  2.  0.  1.  3.  0.  2.  0.  0.  1.  0.  1.  0.  0.  0.  1.
  0.  0.  0.  0.  5.  2.  1.  3.  1.  2.  0.  1.  0.]",,,35.88494195,-94.65859267
8,8001.0,Adams,"Adams, Colorado, US",4058,2020-06-26,154,Colorado,"[nan 64. 72. 82. 34. 33. 47. 41. 79. 57. 37. 23. 30. 22. 16. 20. 35. 31.
 14. 16. 12. 20. 28. 33. 20. 37. 23.  9. 30. 42. 45.]",,,39.87432092,-104.3362578
9,16003.0,Adams,"Adams, Idaho, US",10,2020-06-26,0,Idaho,"[nan  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  0.  2.  3.  0.  0.  0.  0.  1.  0.  0.  0.  0.]",,,44.89333571,-116.4545247
