,FIPS,County_Name,Combined_Key,Confirmed,Date,Deaths,State,Month_Case_Progression,2016_E_Party,Governer_Party,Lat,Lng
571,1031.0,Coffee,"Coffee, Alabama, US",352,2020-06-30,2,Alabama,"[nan  7.  2.  0.  1.  0.  1.  4.  2.  2.  1.  1. 10.  5.  9.  8.  8.  6.
  1.  3. 10.  1.  2.  0.  2. 11.  0.  8.  5.  1.  6.  6.]",republican,Republican,31.39932826,-85.98901039
2840,2261.0,Valdez-Cordova,"Valdez-Cordova, Alaska, US",3,2020-06-30,0,Alaska,[nan  0.  0.  1.  0.  1.],,Republican,61.47502768,-144.7126799
3095,4027.0,Yuma,"Yuma, Arizona, US",6225,2020-06-30,94,Arizona,"[ nan 123.  32. 152. 231. 123. 172.  35. 381.  26. 121.  61. 149. 374.
 182.   0. 260.  63.   0. 170. 441. 325. 201.   0. 336. 191. 233. 160.
 156. 113. 102. 330.]",republican,Republican,32.76895712,-113.90666740000002
610,5029.0,Conway,"Conway, Arkansas, US",55,2020-06-30,3,Arkansas,"[nan  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  0.  0.  3.  0.  2.  3.  0.
  0.  1.  1.  3.  5.  0.  2.  3.  0.  3.  2.  3.  1.  7.]",republican,Republican,35.26205537,-92.70506566
2227,6063.0,Plumas,"Plumas, California, US",9,2020-06-30,0,California,"[nan  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.
  0.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  1.  1.]",republican,Democratic,40.00355989,-120.8395236
8,8001.0,Adams,"Adams, Colorado, US",4185,2020-06-30,155,Colorado,"[nan 34. 33. 47. 41. 79. 57. 37. 23. 30. 22. 16. 20. 35. 31. 14. 16. 12.
 20. 28. 33. 20. 37. 23.  9. 30. 42. 45. 35. 55. 22. 15.]",democrat,Democratic,39.87432092,-104.3362578
872,9001.0,Fairfield,"Fairfield, Connecticut, US",16703,2020-06-30,1376,Connecticut,"[ nan  47. 160.  67.  13.  54.  71. 106.  36.  36.  16.  26.  21.  23.
  99.  29.  32.  21.  22.  17.  27.  44.   6.   8.  39.   5.  20.  17.
  42.  27.  31.  39.]",democrat,Democratic,41.26809896,-73.3881171
1995,10003.0,New Castle,"New Castle, Delaware, US",5065,2020-06-30,244,Delaware,"[ nan  35.  80.  45.  20.  22.  12.  58.  75.  25.  30.  14.  32.  53.
  35.  28.  58.  41.  36.  48.  52.  47.  78.  35.  15.  23.  71.  49.
  31.  54. 106.  34.]",democrat,Democratic,39.57992638,-75.64054974
590,12023.0,Columbia,"Columbia, Florida, US",287,2020-06-30,3,Florida,"[nan  0.  4. -1.  6.  7.  7.  4.  0.  0.  3.  1.  2.  0.  0.  5.  1.  4.
 15.  3.  0. 14.  8.  5.  1. 10.  3.  4. 11.  8. 12.  6.]",republican,Republican,30.22509788,-82.62160164
835,13105.0,Elbert,"Elbert, Georgia, US",104,2020-06-30,0,Georgia,"[nan  0.  0.  0.  0.  1.  1.  1.  1.  3.  0.  0.  1.  1.  1.  0.  1.  1.
  0.  1.  1.  2.  1.  0.  2.  0.  0.  3.  0.  2.  1.  4.]",republican,Republican,34.11302332,-82.83936148
