County,State,Population,Poverty Rate,Median Age,Median Household Income,Number of Employees,Median Property Value
abbeville-county-sc,sc,"24,788",22.7%,43.7,"$35,254","9,505","$92,600"
acadia-county-la,la,,,,,,
accomack-county-va,va,"32,840",19.8%,46,"$42,260","13,837","$157,200"
ada-county-id,id,"469,966",11.8%,37.4,"$66,405","234,955","$296,800"
adair-county-ia,ia,"7,192",9.51%,45.7,"$49,477","3,680","$93,200"
adair-county-ky,ky,"19,304",21.5%,40.8,"$36,575","7,988","$85,900"
adair-county-mo,mo,"25,437",26.2%,27.3,"$38,750","11,274","$117,700"
adair-county-ok,ok,"22,136",30.8%,37.2,"$33,366","8,130","$81,200"
adams-county-co,co,"511,868",12.2%,34,"$70,743","274,062","$343,400"
adams-county-id,id,"3,946",13.8%,52.8,"$42,727","1,539","$166,500"
adams-county-il,il,"66,787",13.1%,41.5,"$48,454","32,243","$120,200"
adams-county-in,in,"35,018",18.9%,33.3,"$48,290","14,954","$118,900"
adams-county-ia,ia,"3,785",11.2%,47.7,"$49,745","1,796","$84,900"
adams-county-ms,ms,"31,583",34.2%,40.3,"$30,359","10,190","$90,800"
adams-county-ne,ne,"31,564",12.4%,37.9,"$51,721","15,890","$115,300"
adams-county-oh,oh,"27,926",23.8%,42.2,"$36,320","10,124","$98,000"
adams-county-pa,pa,"101,589",8.78%,43.3,"$62,661","50,561","$197,400"
adams-county-wa,wa,"19,261",23.1%,28.4,"$48,131","7,757","$150,300"
adams-county-wi,wi,"20,111",13%,52.6,"$44,003","7,530","$127,800"
addison-county-vt,vt,"36,825",7.77%,43.4,"$61,875","19,872","$237,000"
aiken-county-sc,sc,"165,707",16.7%,41,"$47,713","70,753","$135,900"
aitkin-county-mn,mn,"15,841",12.1%,54.5,"$45,860","6,274","$169,300"
alachua-county-fl,fl,"269,956",23.3%,31.7,"$51,241","130,938","$193,100"
alamance-county-nc,nc,"157,844",17.6%,39.7,"$44,281","73,906","$145,500"
alameda-county-ca,ca,1.67M,11.3%,37.6,"$102,125","882,648","$842,000"
alamosa-county-co,co,"16,345",27.8%,30.3,"$36,315","6,593","$152,900"
albany-county-ny,ny,"307,117",12.4%,37.9,"$64,435","158,461","$224,300"
albany-county-wy,wy,"37,944",23%,27.1,"$45,816","21,115","$223,000"
albemarle-county-va,va,"105,105",9.82%,38.6,"$72,265","50,689","$329,600"
alcona-county-mi,mi,"10,413",14.9%,57.9,"$39,424","3,357","$96,000"
alcorn-county-ms,ms,"37,242",19.6%,40.1,"$38,919","14,884","$86,100"
alexander-county-il,il,"6,776",33.4%,42.3,"$31,014","2,164","$53,200"
alexander-county-nc,nc,"37,159",14.7%,42.8,"$44,523","16,393","$131,800"
alexandria-county-va,va,,,,,,
alfalfa-county-ok,ok,"5,877",11.2%,43.8,"$57,432","2,238","$74,500"
alger-county-mi,mi,"9,254",13%,49.3,"$42,647","3,160","$119,000"
allamakee-county-ia,ia,"13,940",11.4%,45,"$47,895","6,881","$122,800"
allegan-county-mi,mi,"114,145",10.8%,39.7,"$58,487","54,028","$150,600"
allegany-county-md,md,"72,591",16.8%,41.5,"$42,771","28,738","$119,900"
allegany-county-ny,ny,"47,400",16.5%,38.6,"$45,359","20,132","$73,300"
alleghany-county-nc,nc,"10,935",21%,49.2,"$38,944","4,447","$136,000"
alleghany-county-va,va,"15,489",19.3%,46.9,"$46,020","6,225","$113,600"
allegheny-county-pa,pa,1.22M,12.5%,40.5,"$59,899","631,382","$163,300"
allen-county-in,in,"375,351",14.7%,36.1,"$54,260","185,932","$132,400"
allen-county-ks,ks,"12,752",14.2%,41.6,"$43,031","6,006","$78,600"
allen-county-ky,ky,"20,628",20%,40.6,"$40,598","8,443","$102,500"
allen-county-la,la,,,,,,
allen-county-oh,oh,"104,157",15%,38.6,"$47,905","48,351","$110,900"
allendale-county-sc,sc,"9,402",30.4%,40.6,"$23,331","2,668","$52,100"
alpena-county-mi,mi,"28,730",15%,47.6,"$40,954","12,665","$94,000"
alpine-county-ca,ca,"1,203",19.8%,44.9,"$63,438",374,"$343,800"
amador-county-ca,ca,"37,306",10.6%,50.6,"$60,636","13,444","$278,600"
amelia-county-va,va,"12,802",13%,46.5,"$58,535","6,166","$185,100"
amherst-county-va,va,"31,819",13.4%,43.9,"$49,677","14,506","$151,500"
amite-county-ms,ms,"12,574",22.8%,46.4,"$30,129","4,550","$77,500"
anchorage-county-ak,ak,,,,,,
anderson-county-ks,ks,"7,840",13.6%,42.2,"$40,986","3,502","$88,200"
anderson-county-ky,ky,"22,017",12%,40.5,"$51,681","10,357","$138,600"
anderson-county-sc,sc,"194,174",15.6%,40.5,"$45,551","85,591","$133,900"
anderson-county-tn,tn,"75,538",16.3%,43.3,"$47,206","32,213","$134,100"
anderson-county-tx,tx,"57,747",15.7%,39.1,"$42,313","19,102","$91,800"
andrew-county-mo,mo,"17,358",8.97%,42.5,"$56,658","8,504","$136,400"
andrews-county-tx,tx,"17,577",11.9%,31.6,"$70,753","8,054","$126,000"
androscoggin-county-me,me,"107,317",14.3%,40.7,"$49,538","53,532","$152,000"
angelina-county-tx,tx,"87,700",19.1%,36.8,"$46,472","36,164","$97,300"
anne-arundel-county-md,md,"576,031",6.07%,38.2,"$97,814","293,446","$371,400"
anoka-county-mn,mn,"353,813",6.57%,39.3,"$82,492","193,831","$247,000"
anson-county-nc,nc,"25,531",22.7%,40.4,"$38,123","10,153","$83,700"
antelope-county-ne,ne,"6,406",11.5%,45.9,"$46,949","3,203","$78,500"
antrim-county-mi,mi,"23,133",12.6%,50.4,"$50,988","9,771","$151,500"
apache-county-az,az,"71,602",35.9%,34.2,"$32,360","18,197","$72,800"
appanoose-county-ia,ia,"12,547",17.1%,45.1,"$40,377","5,502","$78,000"
appling-county-ga,ga,"18,471",24.7%,39.3,"$37,089","6,951","$72,100"
appomattox-county-va,va,"15,462",14.4%,43.5,"$54,875","6,890","$151,700"
aransas-county-tx,tx,"24,832",17.8%,49.6,"$44,601","10,387","$158,900"
arapahoe-county-co,co,"651,215",9.91%,36.9,"$76,768","353,686","$392,400"
archer-county-tx,tx,"8,793",8.83%,44.8,"$63,192","4,344","$125,600"
archuleta-county-co,co,"12,592",11.6%,49.8,"$48,016","5,696","$274,000"
